MEANING,INITIAL LANGUAGE,GENERATION 1,GENERATION 2,GENERATION 3,GENERATION 4,GENERATION 5,GENERATION 6,GENERATION 7,GENERATION 8
circle bounce square,re ro tite tefe,babuta tube,ja refata mi ma tube,givoto tube ja,givoto babatube babatube roji,evoto babatube babatube roji,roji evo baba baba,evo baba baba roji,evo babatube babatube roji
circle slide square PFV,nu cu pugi retuvi ha,tube,ja tube givoto,givoto tube ja,givoto tube roji,civoto tube roji,roji evoto tube,roji evo tube,evo tube roji
circle slide square,cepo bi nebipadi fa,tube,tube,tube roji tube,givoto tube tube roji,evoto tube tube roji,roji evo tube tube,evo tube tube roji,evo tube tube roji
circle bounce squares PFV,no mi jovudo cagupa,babuta roji,refatata roji ja,givoto babatube roji refatata,givoto babatube babatube refatata,civoto babatube roji refatata,roji refa evo baba,roji refatata evo baba,evo babatube roji ref
circle bounce squares,jihifo fa lejali do,roji babu,ja givoto roji,roji tube refatata givoto,givoto babatube refatata roji,evoto babatube babatube roji refatata,evoto babatube babatube roji refatata,evo babatube babatube roji ref,evo babatube babatube roji ref
circle slide squares PFV,bevene he ha je,roji,givoto tube refatata roji,tube tube refatata,givoto tube roji refatata,civoto tube roji refatata,roji ref evo tube,roji ref evo tube,evo tube roji ref
circle slide squares,bimu conide go,babuta roji tube,ja tube givoto,givoto tube tube roji refatata,roji babatube,civoto tube tube roji refatata,evoto tube roji refatata,roji ref evo tube tube,evo tube tube roji ref
circles bounce square PFV,hacopapo,babuta roji,tube roji tube babatube,givoto refatata babatube roji,givoto refatata babatube roji,evoto refatate babatube roji,roji evoto ref babat,roji evoto refatata babatube,evoto ref babatube roji
circles bounce square,fedipe levuci,givoto,babuta roij,givoto ja tube,givoto refatata babatube babatube roji,evoto refatata babatube babatube roji,roji evo refa baba baba,evoto refatata babatube babatube roji,evoto ref babatube babatube roji
circles slide square PFV,lirubufo nu ba gu,ja mi ma pa po tube,givoto tube refatata tube,givoto refatata tube roji,givoto refatata tube roji,civoto refatata tube roji,evoto refatata tube roji,evoto refatata tube roji,evoto ref tube roji
circles slide square,cavo,ja mi ma pa po,refatata givoto tube,roji tube tube givoto refatata,givoto refatata tube tube roji,civoto refatata tube tube roji,roji evo ref tube tube,evoto ref tube tube roji,evoto refatata tube tube roji
circles bounce squares PFV,dira,roji,refatata,roji babutube,givoto refatata babatube roji refatata,civoto refatata babatube roji refatata,evoto refatata babatube roji refatata,evoto refatata tube roji ref,evoto ref babatube roji ref
circles bounce squares,lage bugi ceha bu,refatata,refatata ja tube refatata givoto,givoto babutube givoto,givoto refatata babatube babatube givoto refatata,civoto refatata babatube babatube roji refatata,evoto ref baba baba roji ref,evoto ref baba baba roji ref,evoto ref babatube babatube roji ref
circles slide squares PFV,jado,ja mi ma tube roji,tube givoto refatata tube tube,refatata babutube givoto ja,givoto refatata tube roji refatata,evoto refatata tube roji refatata,evoto refatata tube roji refatata,roji ref evoto ref tube,evoto ref tube roji ref
circles slide squares,bevo micu,ji ma mi pu po ri ra,ja ja tube ma mi,refatata givoto tube tube refatata roji,givoto refatata tube tube roji refatata,civoto refatata tube tube roji refatata,evo refa tube tube roji ref,roji ref evoto refatata tube tube,evoto ref tube tube roji ref
square bounce circle PFV,cijigine ro me,babutube,ja babutube givoto,ja babatube givoto,roji babatube givoto,roji babatube civoto,evo roji baba,roji babatube evoto,roji babatube evo
square bounce circle,teba vo je,gidoto,givoto babutube roji,tube givoto ja,roji babatube babatube givoto,roji babatube babatube civoto,roji baba baba evo,evoto roji babatube babtube,roji babatube babatube evo
square slide circle PFV,jami meje,tube roji,tube,roji tube givoto,roji tube givoto,roji tube civoto,roji tube evoto,roji tube evo,roji tube evo
square slide circle,virode gi,tube ro,refatata tube ja,givoto roji tube tube,roji tube tube givoto,roji tube tube evoto,roji tube tube evo,roji tube tube evo,roji tube tube evo
square bounce circles PFV,lanaje ge jote,babuta jiro,ja mi ma tube roji,tube roji givoto,roji babatube givoto refatata,roji babatube givoto refatata,evoto refatata roji babatube,evoto refatata roji babatube,roji babatube evoto ref
square bounce circles,vibira fihi dajiri,roji babu,refatata tube ja,tube babutube givoto roji,roji babatube babatube givoto refatata,roji babatube babatube civoto refatata,evo ref roji baba baba,roji baba baba evoto ref,roji babatube babatube evoto ref
square slide circles PFV,godeme nomole,roji tube,roji tube refatata givoto,roji tube givoto refatata,roji tube givoto refatata,roji tube civoto refatata,evoto refatata roji babatube,roji tube evoto ref,roji tube evoto ref
square slide circles,bu pomupidi ta reba,tube roji,ja tube tube givoto,givoto refatata tube tube roji,roji refatata tube tube givoto,roji tube tube civoto refatata,evo ref roji tube tube,roji tube tube evoto ref,roji tube tube evoto ref
squares bounce circle PFV,tenigi,ja mi pa po,refatata tube roji,babutube givoto roji,roji refatata babatube givoto,roji refatata babatube civoto,evoto roji refatata babatube,roji refatata babatube evo,roji ref babatube evo
squares bounce circle,buge nudafiba demo,ja me ma tuba,refatata ja babutube,tube ja givoto roji,roji refatata babatube babatube givoto,roji refatata babatube babatube evoto,roji refatata babatube babatube evoto,roji ref babatube babatube evo,roji ref babatube babatube evo
squares slide circle PFV,hi mu,babu tube ro,refatata tube givoto,givoto babutube refatata,roji refatata tube givoto,roji refatata tube evoto,evoto roji refatata tube,evoto roji refatata tube,roji refatata tube evo
squares slide circle,finu havo ve ba,refatata,givoto babutube ja,givoto babatube roji refatata,roji refatata tube tube givoto,roji refatata tube tube evoto,roji ref tube tube evo,roji ref tube tube evoto,roji ref tube tube evo
squares bounce circles PFV,begeru midebu bi mo,roji,refatata givoto babutube refatata ja,roji refatata babatube givoto refatata,roji refatata babatube givoto refatata,roji refatata babatube civoto refatata,roji ref baba evo ref,evoto ref roji ref babatube,evoto refatata roji refatata babatube
squares bounce circles,gudu lecibi,babuta roji,babuta roji,refatata givoto tube,roji refatata babatube babatube givoto refatata,roji refatata babatube babatube evoto refatata,evoto refatata roji refatata babatube,evoto refatata roji refatata babatube babatube,roji ref babatube babatube evoto ref
squares slide circles PFV,lohicu relana,babaroji,refatata tube tube givoto,givoto ja babutube,roji refatata tube givoto refatata,roji refatata tube evoto refatata,roji refatata tube evoto refatata,evo ref roji refatata tube,roji ref tube evoto ref
squares slide circles,mibi ma,ja mi ma tube roji,refatata givoto tube tube refatata roji,refatata roji babatube refatata givoto,roji refatata tube tube givoto refatata,roji refatata tube tube evoto refatata,roji refatata tube tube evoto refatata,roji ref tube tube evoto ref,roji ref tube tube evoto ref
square bounce square PFV,ma fo,babuta tube,ja mi ma pa po,roji babatube roji,roji babatube roji,roji babatube roji,roji roji babatube babatube,roji roji babatube,roji babatube roji
square bounce square,he nu ravibe,tubabu,babatube roji ja ja,roji babatube babatube roji,roji babatube babatube roji,roji babatube babatube roji,roji baba baba roji,roji roji baba baba,roji babatube babatube roji
square slide square PFV,fefi vefo tuvu,tube,ja tube,roji tube roji,roji tube roji,roji tube roji,roji tube roji,roji roji tube,roji tube roji
square slide square,tube,badube,ja tube tube ja,tube ja,roji tube tube roji,roji tube tube roji,roji babatube roji,roji tube tube roji,roji tube tube roji
square bounce squares PFV,pevo do,babtub roji,ja roji,givoto roji givoto ja,roji refatata babatube roji,roji babatube roji refatata,roji baba roji ref,roji refatata roji babatube,roji babatube roji ref
square bounce squares,doni,roji babu,ja ja refatata roji,refatata babutube ja roji,roji babatube babatube roji refatata,roji babatube babatube roji refatata,roji babatube roji refatata,roji ref roji baba baba,roji babatube babatube roji ref
square slide squares PFV,foru fafute ca,ja mi ma tube roji,roji tube refatata roji,roji tube roji refatata,roji tube roji refatata,roji tube roji refatata,roji refatata babatube roji,roji refatata roji tube,roji tube roji ref
square slide squares,jibuta julice rifi,tube roji,roji tube tube,tube tube givoto,roji tube tube roji refatata,roji tube tube roji refatata,roji refa roji tube tube,roji tube tube roji ref,roji tube tube roji refatata
squares bounce square PFV,pucude nu nudi,babuta,refatata roji refatata,roji refatata babatube roji,roji refatata babatube roji,rojo refatata babatube roji,roji refatata babatube roji,roji ref babatube roji,roji ref babatube roji
squares bounce square,ji ji la babota,babuta tube,refatata roji babutube roji,givoto refatata tube ja,roji refatata babatube babatube roji,roji refatata babatube babatube roji,roji refatata babatube babatube roji,roji roji refatata babatube babatube,roji ref babatube babatube roji
squares slide square PFV,la hare pa,ja mi ma pa po,ja tube roji givoto,tube givoto ja,roji refatata tube roji,roji refatata tube roji,roji refatata tube roji,roji refatata tube roji,roji refatata tube roji
squares slide square,hono,ja mi ma tube,ja tube refatata ja,givoto ja,roji refatata tube tube roji,roji refatata tube tube roji,roji refatata tube tube roji,roji roji refatata tube tube,roji refatata tube tube roji
squares bounce squares PFV,lemenimi ma,gidoto,refatata tube,roji refatata babatube roji refatata,roji refatata tube refatata,roji refatata babatube roji,roji refatata babatube roji refatata,roji ref roji refatata babatube,roji refatata roji refatata babatube
squares bounce squares,gubuhu turolaja,babuta roji,refatata,babatube givoto roji,roji babatube refatata roji,roji refatata babatube babatube roji refatata,roji refa roji refa baba baba,roji ref babatube babatube roji ref,roji ref babatube babatube roji ref
squares slide squares PFV,favifica,ja mi ma tube roji,ja refatata tube ja refatata,roji refatata tube roji refatata,roji refatata tube roji refatata,roji refatata tube roji refatata,roji refatata tube roji refatata,roji refatata tube roji ref,roji ref tube roji ref
squares slide squares,pe redodo,ja mi ma tube roji,refatata givoto tube,roji refatata tube tube roji refatata,roji refatata tube tube roji refatata,roji refatata tube tube roji refatata,roji refata babatube babatube roji refa,roji refatata roji refatata tube tube,roji ref tube tube roji ref
circle bounce PFV,lugubu,jaba,mi mo roji mi mo,givoto babatube,givoto babatube,civoto babatube,evo baba,evo baba,evo babatube
circle bounce,depi ce,tuba,givoto babutube babutube,givoto babatube,givoto babatube,civoto babatube babatube,evoto baba babatube,evo baba baba,evo babatube babatube
circle slide PFV,vebelili bi nu,givoto,givoto tube,tube,givoto tube ja,evoto tube,evoto tube,evo tube,evo tube
circle slide,ramuhibi rebucoda,tube,givoto,givoto tube,givoto tube,civoto tube tube,evo tube tube,evo tube tube,evo tube tube
circles bounce PFV,he gijepe honi vu,babuta,ja tube givoto,givoto refatata babatube,givoto refatata babatube,civoto refatata babatube,evoto refatata babatube,evoto refatata babatube,evoto ref tube
circles bounce,nuda gi tegarafi lu,babuta,roji roji babatube,refatata roji,givoto refatata babatube,evoto babatube babatube,evoto refatata babatube babatube,evoto refatata babatube babatube,evoto babatube babatube
circles slide PFV,rijovo pogapu gana,babuta tube,ja givoto tube,refatata roji,givoto refatata tube,civoto refatata tube,evo refa tube,evoto ref tube,evoto ref tube
circles slide,jafugi,babuta,refatata givoto tube,givoto ja,givoto refatata tube tube,evoto refatata tube tube,evo ref tube tube,evotot refatata tube tube,evoto refatata tube tube
square bounce PFV,gaci letahu bu ga re,tuba,mi mo ja babutube,mi mo ja tube tube,roji babatube,roji babatube,roji babatube,roji baba,roji babatube
square bounce,coli,babuta,roji ja roji,tube,roji babatube babatube,roji babatube babatube,roji baba baba,roji baba baba,roji babatube babatube
square slide PFV,piru dedebufu bibo,ja,ja tube,roji tube,roji tube ja,roji tube,roji tube,roji tube,roji tube
square slide,toco rudu,badetata,babatube tube,roji tube tube,roji tube tube,roji tube tube,roji tube tube,roji tube tube,roji tube tube
squares bounce PFV,ji bupetu,roji,refatata refatata roji ja ja,babutube givoto,givoto refatata babatube,roji refatata babatube,roji refatata babatube,roji refatata babatube,roji ref babatube
squares bounce,ra cale gava lemu mo,babuta,refatata roji babutube,givoto babutube roji,roji refatata babatube babatube,roji refatata babatube babatube,roji ref baba baba,roji refatata babatube babatube,roji refatata babatube babatube
squares slide PFV,ni de ti rucure,babuta,refatata ja tubetube,roji refatata tube,roji refatata tube,roji refatata tube,roji refatata tube,roji refatata tube,roji ref tube
squares slide,ja mi ma po pe fa fo,ja mi ma pa po,refatata tube,roji refatata tube,roji refatata tube tube,roji refatata tube tube,roji refatata tube tube,roji ref tube tube,roji refatata tube tube
