MEANING,INITIAL LANGUAGE,GENERATION 1,GENERATION 2,GENERATION 3,GENERATION 4,GENERATION 5,GENERATION 6,GENERATION 7,GENERATION 8,,,
circle slide squares,jigoti noboda ta,fefubo,jami luve,domo luve pirage,domo pirage,domo pirage,domo refugo pirage,pira refuge pirage,pirage refugo domo,,,
circles bounce square PFV,rela gi tanahido ra,ja hi luve,jami luve,refuga domo,domage pira,domoge pira,domoge lefugo pira,domoge lefugo pira,pira lefugo domoge,,,
circles bounce square,vihate la,ja fafula hi fi fo,refugo luve,domoge pira,domoge le pira,domoge refugo pira,domoge refugo pira,domoge refugo pira,pira lefugo domoge,,,
circles slide square PFV,didi higu bi derihu,nuji luva,refugo luve,refuga le pira,domoge pira,domage lefugo pira,domage lefugo pira,domoge lefugo pira,pira lefugo domoge,,,
circles slide square,valu,ja ha hi fe fo,fefuba pira,fefuba domo,domoge pira,pira domoge,domoge refugo pira,domoge refugo pira,domoge refugo pira,,,
circles bounce squares PFV,bodi,ji da jahima,refugo,refuga le fefubo,domoge lefugo pirage,domage pirage,domoge lefugo pirage,domoge lefugo pirage,domoge lefugo pirage,,,
circles bounce squares,rilo vu ha,hu munu ja,fefubo le fefuba,domoge pirage,domoge pirage,domoge refugo pirage,domoge refugo pirage,domoge refugo pirage,pirage refugo domoge,,,
circles slide squares PFV,lo pojife,ni fefu la luve,refugo,domoge le pirage,domoge lefugo pirage,domoge lefugo pirage,domoge lefugo pirage,domoge lefugo pirage,domoge lefugo pirage,,,
circles slide squares,pepejopo hepaca,ja hi puve,jami puve,refuga luve,domoge pirage,domage refugo pirage,domoge refugo pirage,domoge refugo pirage,domoge refugo pirage,,,
square bounce circle PFV,vare pivetahu,ni ji puva,mai domo,pira puve domo,pira lefugo domo,pira lefugo domo,pira lefugo domo,pira lefugo domo,pira lefugo domo,,,
square bounce circle,pa di,puva domo,mai domo,pira domo,pira doma,pira refugo domo,pira refugo domo,pira refugo domo,pira refugo domo,,,
square slide circle PFV,pi todajehu ri,pirame,mai domo,pira le domo,pira luve domo,domo pira,pira lefugo domo,pira lefugo domo,domo lefugo pira,,,
square slide circle,lujufi,ji pirame,mari domo,pira luve domo,pira domo,pira refugo domo,pira refugo domo,pira refugo domo,domo refugo pira,,,
square bounce circles PFV,fomeja nepe tu,ji du luve,fefuba luve,pira domoge,pira le domoge,pira lefugo domoge,pira lefugo domoge,pira lefuge domoge,pira refugo domoge,,,
square bounce circles,defi,ja ji habidu,jami luve,pira domoge,pira domoge,pira refugo domoge,pira refugo domoge,pira refugo domoge,domoge refugo pira,,,
square slide circles PFV,lu nadile te mapi,jo luve ji,refugo luve,pira refugo,pira domoge,pira lefugo domage,pira lefugo domoge,pira lefugo domoge,pira lefugo domoge,,,
square slide circles,lu folugu ci bevivo,bihi beho de haji,pira fefubo,pira luve,pira domoge,pira domoge,pira refugo domoge,pira refugo domoge,domoge refugo pira,,,
squares bounce circle PFV,lonecofe ba,jeju ni luve,refugo luve,pirage le domo,pirage domo,pirage lefugo domo,pirage lefugo domo,pirage lefugo domo,pirage refugo domo,,,
squares bounce circle,halovi bajibeci,jejugo,puve domo,refugo domo,pirage domo,pirage refugo domo,pirage refugo domo,pirage refugo domo,pirage refugo domo,,,
squares slide circle PFV,fefuba le fefobu,fefuba le fefubo,refugo,fefuba refugo,pirage domo,pirage lefugo domo,pirage lefugo domo,pirage lefugo domo,domoge refugo domo,,,
squares slide circle,bucapece,ce ci jahami,jami luve,refugo domo,pirage domo,pirage domo,pirage refugo domo,pirage refugo domo,domo refugo pirage,,,
squares bounce circles PFV,na do,refugo jahigp,fefuba le fefubo,fefugo le refugo,pirage refugo domoge,pirage lefugo domage,pirage lefugo domoge,pirage lefugo domoge,lefugo refugo domoge,,,
squares bounce circles,lireboga de do,fefuba gonji,fefuba le refugo,pirage domoge,pirage refugo domoge,pirage refugo domage,pirage refugo domoge,pirage refugo domoge,pirage refugo domoge,,,
squares slide circles PFV,pujoga ride,ji va luve puva,refugo,refugo domo luve,pirage domoge,pirage lefugo domoge,pirage lefugo domoge,pirage lefugo domoge,domoge refugo lefage,,,
squares slide circles,ja heceje lobi,jama puva,luve,pirage luve domoge,pirage domoge,pirage refugo domoge,pirage refugo domage,pirage refugo domoge,pirage lefugo domoge,,,
square bounce square PFV,ju budo ramo,jago puva,mono luve,luve domo,pira pira,pira pira,pira lefugo pira,pira lefugo pira,pira refugo pira,,,
square bounce square,co naja bu,ma jija domora,domo luve,pira pira,pira pira,pira pira,pira refugo pira,pira pira,pira refugo pira,,,
square slide square PFV,vo pimo,puve,pira luve,pira domo,pira lefugo pira,pira lefugo pira,pira lefugo pira,pira lefugo pira,pira lefugo pira,,,
square slide square,diju ha hi fi fo,mari domora,jami pira,pira luve,pira pira,pira refugo pira,pira refugo pira,pira refugo pira,pira refugo pira,,,
square bounce squares PFV,vojene pa bi,rifodo,luve,pira le pirage,pira le piraege,pira lefugo pirage,pira lefugo pirage,pira lefugo pirage,pirage lefugo pira,,,
square bounce squares,dedilele bita ti,ja jihuhe puve,jami luve,pira pirage,pira refugo pirage,pira refugo pirage,pira refugo pirage,pira refugo pirage,pira refugo pirage,,,
square slide squares PFV,rapugu,refugo,refugo luve,pira lefugo,pira le pirage,pira lefugo pirage,pira lefugo pirage,pira lefugo pirage,pira lefugo pirage,,,
square slide squares,gu munu,ji ce je jahami,jami luve,pira luve,pira refugo pirage,pira refugo pirage,pira refugo pirage,pira refugo pirage,pirage refugo pira,,,
squares bounce square PFV,hile cuhefote,ve puva di,fefuba luve,domoge puve le domo,pirage pira,pirage lefugo pira,pirage lefugo pira,pirage lefugo pira,pira lefugo pirage,,,
squares bounce square,ma cedujo nofu,ji ja luve pace,jami luve,pirage pira,pirage pira,pirage refugo pira,pirage refugo pira,pirage refugo pira,pirage refugo pira,,,
squares slide square PFV,bilava ronubi lofe,refugo,refugo,pirage luve le pira,domo domoge,pirage pira,pirage lefugo pira,pirage lefugo pira,pirage refugo,,,
squares slide square,ge ra,refugo ja,jami luve,refuga pira,pirage pira,pirage refugo pira,pirage refugo pira,pirage refugo pira,domoge refugo domo,,,
squares bounce squares PFV,jetane mu,fefola he djihula,fefuba le fefubo,pirage le pirage,pirage pirage,pirage lefugo pirage,pirage lefugo pirage,pirage lefugo pirage,pirage lefugo pirage,,,
squares bounce squares,buce,fefuba le fefubo,fefubo le fefuba,pirage pirage,pirage pirage,pirage refugo pirage,pirage refugo pirage,pirage refugo pirage,pirage refugo pirage,,,
squares slide squares PFV,paruvapo jomilo,refugo,fefuba le fefubo,domoge luve le domoge,pirage pirage,pirage lefugo pirage,pirage lefugo pirage,pirage lefugo pirage,pirage lefugo pirage,,,
squares slide squares,covimubi timu,jami gedo,pira luve,fefuba luve,pirage pirage,pirage refugo pirage,pirage refugo pirage,pirage refugo pirage,pirage lefugo pirage,,,
circle bounce PFV,pagepa,domo,domo,luve,domo,domo,domo lefugo,domo lefugo,domo refugo,,,
circle bounce,bifida bano dinagi,ja primae ji,mu mono,domo,domo,domo,domo,domo,refugo domo,,,
circle slide PFV,rihi vahado ro,domo,domo,domo refugo,domo,domo,domo lefugo,domo refugo,lefugo domo,,,
circle slide,ci vu ta be,da primae,domo,luve,domo,domo,domo refugo,domo refugo,refugo domo,,,
circles bounce PFV,pitame,pura fefula,jami refugo,fefugo,domoge,domoge,domoge lefugo,domoge lefugo,lefugo domoge,,,
circles bounce,givu ja,fofula he fefida,refugo,domoge,domoge,domoge,domoge,pirage refugo,domoge refugo,,,
circles slide PFV,gijomigu ruvecu di,jami luve,fefubo,domoge,domoge,domage,domoge lefugo,domoge lefugo,domoge lefugo,,,
circles slide,cini bojo di,ja primera,fefuba,domoge luve,domoge,domoge,domage refugo,domoge refugo,refugo domoge,,,
square bounce PFV,hefu de,ja fabu primae,pira,pira le,pira,pira,pira,pira lefugo,pira refugo,,,
square bounce,davabagi ge re,puva,puve,pira,pira,pira refugo,pira refugo,pira,refugo pira,,,
square slide PFV,rovi delo,ju puva,domo,pira,pira,pira,pira,pira lefugo,pira lefugo,,,
square slide,pi goda cenuvo moha,puva,pira,pira,pira,pira,pira refugo,pira refugo,pira refugo,,,
squares bounce PFV,vaco to vene hi,fubo de famo,fefuba,puve,pirage,pirage,pirage lefugo,pirage lefugo,lefugo pirage,,,
squares bounce,fuvi dihi ba ta,refugo,fefubo,pirage,pirage,pirage refugo domo,pirage refugo,pirage refugo,pirage refugo,,,
squares slide PFV,tujo huta,jaghi jami,fefubo,pirage,pirage,pirage,pirage lefugo,pirage lefugo,pirage refugo,,,
squares slide,terife gafa tu,fefuba le fefubo,jami luve,pirage,pirage,pirage,pirage refugo,pirage refugo,refugo pirage,,,
