MEANING,INITIAL LANGUAGE,GENERATION 1,GENERATION 2,GENERATION 3,GENERATION 4,GENERATION 5,GENERATION 6,GENERATION 7,GENERATION 8
circles slide circles PFV,fa sitase poye,pedifo kodefa di go,lumese fagote lumese,lumese sahime lumese,slumese lumese sahime,sumese sahime lumese,lumese sahime lumese,lumuse sahimee lumuse,fumuse sahime fumuse
circles slide circles,seda be bi,badife gofode yifu wuyo,cica lumese gohome,lumese lumese fumese,slumese lumese fumese,demitofa sumese demitoda,lumese fumese lumese,lumuse fumuse lumuse,lumuse fumuse demitofa
circle bounce square PFV,re mego yayo wu,dekafe gohedifo,cica fumese demi,demi cica difimed,cicaa detofa demi,demi sahime cicaa,cicaa sahime demi,cicaa sahime demi,demitofa lumuse
circle bounce square,wi dugidi,kuchedo fagadi,demi cica defoda,demi cica defoda,demi cicaa fumese,cicaa fumese demi,cicaa fumese demi,cicaa fumuse demi,lumuse dmei
circle slide square PFV,chi kotile,cachu gefado necapu,demi cica sahime,demi cica sahime,demi cica fumese,cicaa sahime demi,cica sahime demi,cica sahime demi,dmei sahime demi
circle slide square,fizu dole,nanobo wana,cica demi defoda,demi cica fumese,cica fumese demi,cica fumese demi,cica fumese demi,cica fumuse demi,demi sahime dmei
circle bounce squares PFV,zeti ve te hu tesudu,mahigo fode gefi,cica gohome demitofa,demitoda cica sahime,demitofa cicaa sahime,cicaa sahime demitoda,cica sahime demitoda,cica sahime demifora,demi demitodad
circle bounce squares,maceco,sukife kuche kuhicuhote,cicaa defoda demitofa,cica defoda demitoda,cicaa fumese demitoda,cica fumese demitoda,cicaa fumese demitofa,cicaa fumuse demitoda,demi demitora
circle slide squares PFV,no gu ho bagawukapu,deta salone degeni,cica demitofa sahime,cica demitoda sahime,demitoda cica sahime,demitofa sahime demi,cica sahime demitofa,cica sahime demitoda,demitodad sahime demi
circle slide squares,no ba lobo vomi zu,pikeba foti,cica defoda demitofa,demitoda cica fumesee,cica fumese demitoda,demitoda fumese cica,cica fumese demitofa,cica fumese demitofa,demi sahime demitodad
circles bounce square PFV,he bizuso,jemayogofe,defoda demi lumese,demitofa defoda cica,lumese sahime demi,demitoda detoda sahime,lumese sumise demi,lumuse sahime demii,dmei sahine demitofa
circles bounce square,to chacha cho lu,defogoda fegodi,demi lumese defoda,demi lumese defoda,lumese fumese demi,lumese demitoda,sumese fumese demi,lumuse fumuse demii,lumuse sahime demitora
circles slide square PFV,riseta ze,revo woyu,demi lumese sahime,lumese sahime demi,demi lumese sahime,demi sahime lumese,lumese sahime demi,lumuse sahime demi,dmei lumuse sahime
circles slide square,kele nagu cha wi,migo gicafe do hifa,demii defoda lumese,lumese fumese demi,demi lumese fumese,lumese sumese demi,lumese fumese demi,lumuse fumuse demi,demitora fumuse
circles bounce squares PFV,po tofo da,depifo fudegahi,lumese demitofa fumese,demitofa lumese sahime,lumese sahime demifoda,sumese sahime demitoda,lumese sahime demitoda,lumuse sahime demifora,fumuse lumuse demitora
circles bounce squares,vi fo bu,fereko cegime,demitofa lumese difimed,demitoda lumese defoda,demitoda lumese detofa,lumese fumese demitoda,lumese sumese demitofa,lumuse fumuse demitodad,fumuse demitofa
circles slide squares PFV,ye ze livo nu,bode cofude ha fodesa,lumese fagote demitofa,demitoda lumese sahime,demitoda lumese fumese,lumese sahime demitoda,lumese sahime demitofa,lumuse sahime demitoda,demitora sahime demitofa
circles slide squares,yacha fulo surocoma,canore difemed,demitoda lumese difimed,demitoda lumese fumese,demitoda detofa lumese,demitoda detoda fumese,lumese fumese demitofa,lumuse fumuse demitoda,demitofa sahime demitora
square bounce circle PFV,mufu yopu vufi,defiga hedoda,cica demi sahime,cica demi sahime,demi sahime cica,demi sahime cica,demitoda demi cica,dmei sahime cica,dmei sahime lumuse
square bounce circle,hawega dopo pu,jaba jagefade,cica defoda demi,demi defoda cica,demi detofa cica,demi lumese cica,cica fumese dmei,dmei fumuse cica,demi demora
square slide circle PFV,hevu yepi na,wuyo yifa yiwu,jaba gohome,demi sahime cica,cica demi fumese,cica sahime demi,demi sahime cica,demi sahime cica,demitora lumuse
square slide circle,leye piri hegi,sapipese benedogo,jaba jagefode,cica demi fumese,demi fumese cica,demi fumese cica,demi fumese cica,demi fumuse cica,demi dmei
square bounce circles PFV,ha nazapucaku,nodowe remi,demitofa cica fagote,demi lumese sahime,demi sahime slumese,sumese fumese demi,lumese detoda dmei,dmei sahime lumuse,lumuse sahime demi
square bounce circles,cha sewa la fo,pega ha hufi gockuche,demi defoda lumese,lumese demi defoda,demi detofa slumese,demitofa lumese demi,lumese fumese dmei,dmei fumuse lumuse,lemuse sahime demi
square slide circles PFV,la mu ma,necapu fogedi,lumese demi sahime,demi sahime lumese,demi sahime lumese,demi sahime sumese,demi sahime lumese,demi sahime lumuse,demitora sahime lumuse
square slide circles,chevi se gufe,dedofogota depafode,lumese demi defoda,lumese demi fumese,demi fumese slumese,sumese fumese dmei,demi fumese lumese,demi lumuse fumuse,lemuse demi demifora
squares bounce circle PFV,zeco wo,sopa cuhi,cica demitofa fumese,demitofa defoda sahime,cica demifoda sahime,demi sahime detoda,demitoda detofa cica,demitofa sahime cica,lemuse demitora
squares bounce circle,wo chato firadakipe,wafodi tofena,cica demitofa defoda,demitofa cica ddefoda,demitofa detofa cica,demi detofa demitofa,demitoda fumese cica,demitofa fumuse cica,lumuse demitodad
squares slide circle PFV,paze mi wa tovu cu,deta salone,cica sahime demitofa,demitofa cica sahime,cica demitofa sahime,cica sahime detoda,demitofa detoda cica,demitoda sahime cica,demi sahime demitofa
squares slide circle,posela ropire,dama zi ke yanagi,defoda cica demitofa,demitofa fumese cica,cica detofa fumese,demitoda demi,demitofa detofa cica,demifora lumuse cica,demitodad lumuse
squares bounce circles PFV,reta duyafiche,coni lebu lifu ga,demitofa fidimed,lumese sahime demitofa,slumese detofa demitofa,sumese sahime cica,demitoda detofa lumese,demitoda sahime lumuse,demitore lemuse
squares bounce circles,se gu gapo ci dupumu,sobedi heme,japadi dofedi cica,godafi fagote,demitofa defota slumese,demitoda detoda demitofa,demitoda detoda lumese,demitoda fumuse lumuse,lumuse demitodad sahime
squares slide circles PFV,kape vigo yase,inosope sopa culo,lumese demitofa sahime,lumese demitofa sahime,slumese demifoda sahime,demitoda sahime lumese,demitofa detofa lumese,demitofa sahime lumuse,lumuse demitora sahime
squares slide circles,cha ke bifa tipi,hemehe medigo,lumese demitofa defoda,lumese demitofa fumese,demitofa detofa slumese,demitofa detoda demitoda,demitofa detoda lumese,demifora fumuse lumuse,fumuse demitodad
square bounce square PFV,kopo te,sutapo gefe,jaba jagefede,demii defoda sahime,demi detofa sahime,demi detofa demi,demi detofa demi,dmei sahime demi,dmei sahime dmei
square bounce square,chede mu,kedega heficake,jaba jagefoda,demii defoda,demi demi sahime,demi fumese demi,demi detoda demi,dmei fumuse demi,smei sahime dmei
square slide square PFV,fa wigu zisi,demetofa gohome,demi demi sahime,demii sahime,demi demi detofa,demi sahime demi,demi sahime demi,demi sahime demi,dmei demi dmei
square slide square,mivono,kakapu gofedi,dofedu demitofa,demii fumese,demi detofa demi,demi lumese demi,demi fumese demi,demi fumuse demi,dmei sahime dmei
square bounce squares PFV,nevucu kokipedi,gehedi fogota,demitofa demitofa fagote,demitoda demi defoda,demitoda demi sahime,demitoda sahime demi,demi detofa demitofa,dmei sahime demifora,dmei sahime demitofa
square bounce squares,pinu pune,lofi lifu wa dedi,godafi fagote,demi demitoda defoda,demi detofa demitoda,demi fumese detofa,demitofa detoda dmei,dmei fumuse demitoda,demitodad dmei
square slide squares PFV,yuve higo,vi fagelu,jabefoda fagote,demi sahime demitoda,demi sahime demitoda,demitoga sahime demitoda,demi sahime demitofa,demi sahime demitoda,dmei sahime demitora
square slide squares,chi nikac hogoci,hu kuche fagote,demitofa demi defoda,demi demifoda fumese,demitoda demi fumese,demitoda fumese demi,demi fumese demitofa,demi fumuse lumuse,dmei dmeitora
squares bounce square PFV,bemogi zema,gofode gofi dafehi,demi demitofa fumese,demi demitofa defoda,demi demifoda sahime,demi detoda demitoda,demitoda detofa demi,demifora sahime demi,demitora sahime
squares bounce square,coyo mo fo,medo radela,demitofa defoda demitofa,demitofa defoda demi,demi demitofa detofa,demitofa detofa demi,demitoda detoda cica,demitofa fumuse demi,dmei demitora sahime
squares slide square PFV,mi kivu,dinefe nesidi,demi demitofa sahime,demi demitofa sahime,demi demitofa fumese,demi sahime demitofa,demitoda detofa dmei,demitoda sahime demi,demitora sahime demitora
squares slide square,ga durazefi,sidisi kutulu,defoda demi demitofa,demi demitofa fumese,demitofa fumese demi,demi detofa demitoda,demitofa detofa demi,demitoda fumuse demi,demi sahime demitora
squares bounce squares PFV,pu yule ha wacuyi,nokipe gofeda,demitofa demitofa difimed,demitoda demitofa sahime,demitoda demitofa sahime,demitoda detoda detofa,demitoda detofa demitofa,demitofa sahime demitoda,demitofa sahime demitodad
squares bounce squares,mezawi ya,meru go dofa ta,demitofa defoda demitofaa,demitoda demitofa defoda,demitofa detofa demitoda,demitofa detofa demitoda,demitoda detoda demitofa,demitofa fumuse demitoda,demitodad sahime demitora
squares slide squares PFV,fopesihayuwo,kuche casofobu,demitofa fagote demitofa,demitofa demitoda sahime,demitofa sahime demitoda,demitoda sahime demitoda,demitofa detofa demitofa,demitofa sahime demitofa,demifora demitofa demitodad
squares slide squares,ba gi re fi te taba,fu hegido kapu hu,demitofa demitofa defoda,demitoda demitofa fumese,demitoda demitofa detofa,demitoda fumese demitofa,demitofa detoda demitoda,demitoda fumuse demifora,demitora sahime demitodad
circle bounce PFV,vosa vicho dofo,wuyo yiwufa,cica fumese,deofoda cica,cicaa sahime,cicaa sahime,cicaa sahime,cica sahime,lumuse lumuse demi
circle bounce,vema fevachi pari,fegado kifeda,defoda cica,cica defoda,cicaa fumese,cicaa fumese,cicaa fumese,cicaa fumuse,demi sahime
circle slide PFV,zitu comiwe,cupo revo cuhote,fumese cicca,cica sahime,cica sahime,cica sahime,cica sahime,cica sahimee,lemuse
circle slide,su cebapu,retoba bafeto,cicca defoda,fumese cica,cica fumese,cica fumese,cica fumese,fumuse cica,demi
circles bounce PFV,mo hopizu zi po co,nacapi gofedado,lumese fumese,lumese defoda,lumese sahime,fumese sahime,lumese sumese,fumuse lumuse,lumuse sahime fumuse
circles bounce,wipopi yumi,jepafo dofode,canore difemed,defoda demitofa,lumese fumese,lumese fumese,sumese lumese,lumuse fumuse,lumuse demitofa
circles slide PFV,ya ni rula ka peyofa,pese fichi,lumese fumesee,lumese gohome,lumese detofa,lumese sahime,lumese sahime,lumuse sahime,lumuse fumuse
circles slide,fi hirako ga,go hedefi gado ha,lumese,slumese fumese,slumese fumese,sumese fumese,lumese fumese,lumuse fumusee,lumuse sahime lumuse
square bounce PFV,culugo wo lohi gona,necapu cuhote,demii fumese,defoda demi,demi sahime,demi sahime,demi detoda,dmei sahime,dmei dmei
square bounce,zi fi te,madoko pulacho,demi defoda,demi defoda,demi fumese,demi fumese,demi detofa,dmei fumuse,dmei
square slide PFV,hubu fipo,peduki feda,demi fumese,demi sahime,demi detofa,sahime demi,demi sahime,demi sahime,dmei defora
square slide,mocuko zi,perugo hedo,demitofa defoda,fumese demi,demi demitofa,fumese demi,demi fumese,demi fumuse,demitofa
squares bounce PFV,fasi feca bo bo,megi gefado hepa,demitofa gohome,demitofa defoda,demitoda sahime,demitoda fumese,demitoda detofa,demitofa sahime,demitora
squares bounce,rewe ri yiche,bawafu lumena,demitofa difemed,demitofa deofoda,demitofa detofa,demitoda detoda,demitoda detoda,demitofa fumuse,demitodad
squares slide PFV,bu licawi,me fedogo hefi,demitofa fumese,demitofa sahime,demitofa sahime,demitofa sahime,demitofa sahime,demitoda sahime,sahime demitora
squares slide,gaminu fopu,cedofa godetado,demitofa deofoda demitofa,demitofa fumese,demitofa fumese,demitofa detofa,demitofa demitofa,demitoda fumuse,demitora demitora
